,radius1,texture1,perimeter1,area1,smoothness1,compactness1,concavity1,concave_points1,symmetry1,fractal_dimension1,radius2,texture2,perimeter2,area2,smoothness2,compactness2,concavity2,concave_points2,symmetry2,fractal_dimension2,radius3,texture3,perimeter3,area3,smoothness3,compactness3,concavity3,concave_points3,symmetry3,fractal_dimension3
radius1,1.0,0.10651641561129795,0.9952814820791728,0.9900784505519766,-0.11603615414852736,0.16916808312339437,0.4827503743593814,0.6755191205447093,-0.07644230175219435,-0.38867852241101364,0.6392696538891938,0.04687304211223364,0.6247853748549496,0.6923589785895017,0.028037403609894637,0.0782508126830051,0.19757069993938048,0.23470949074160016,0.03372713259753444,-0.03676151094148824,0.9216533043835227,-0.08888969884769254,0.9148770876613302,0.8939349844247395,-0.3266487586451072,-0.11482397025101093,0.0696206881971598,0.38346081430520335,-0.2663754955944423,-0.3833670987763638
texture1,0.10651641561129795,1.0,0.11068242720473667,0.10372920379673171,-0.143919896465873,0.032566628940708595,0.0671352354198566,0.017452918285293717,-0.09000936791940022,-0.061559347677935916,0.03868087427800794,0.305949798430512,0.06022312873097196,0.04852183531614543,0.0425109042473123,0.1274106029642611,0.11011108949535425,0.04092970898322068,-0.06061514249661448,0.06556227781538754,0.12602239698023623,0.8468314796665977,0.13660507420610354,0.12669777052169046,-0.024013321329176555,0.10407966660715248,0.11007508900990057,-0.002213296615146924,-0.08738606512311534,0.025960038487011703
perimeter1,0.9952814820791728,0.11068242720473667,1.0,0.9872227771474106,-0.05240066677778167,0.25640866026638665,0.5549939976151352,0.7301583138646459,-0.014328763722322021,-0.3135633551719393,0.6540834644131684,0.06834889208067882,0.6513460495408969,0.7047355734154899,0.051873144723261044,0.1440418495121277,0.2574487333336738,0.2760124089546924,0.06990229497353322,0.02500191487497911,0.9157398894010258,-0.08569034554158177,0.9220553601176515,0.889046261562346,-0.28308668522131014,-0.04861838575186135,0.13497671240084652,0.4377863921349846,-0.23174238597117713,-0.32654874748950463
area1,0.9900784505519766,0.10372920379673171,0.9872227771474106,1.0,-0.08828140964942505,0.17018086176418898,0.49315144674453737,0.6775130401516999,-0.08082836840785884,-0.3686118329701458,0.6857654968397873,0.051462273571552586,0.6707321253542121,0.7546521278796262,0.0417922597115085,0.07498076138426533,0.19655587129915456,0.22582619808985746,0.03336826429359032,-0.03525436089681673,0.9203196752909377,-0.08175112354989213,0.9157275416800751,0.9113957430013907,-0.2980375886109633,-0.10810402290390096,0.07714971003705065,0.3857170813239287,-0.2706480205341793,-0.36624349189054445
smoothness1,-0.11603615414852736,-0.143919896465873,-0.05240066677778167,-0.08828140964942505,1.0,0.6764329113508645,0.6350839109400844,0.5486414521323424,0.5782158728908172,0.7516898051671768,0.12788538566136082,0.1595305652982118,0.13868196626174137,0.09074227201238318,0.31345561207105394,0.38157291805579163,0.3765471446718088,0.19947261372690375,0.2587092086242661,0.46686310966145433,-0.07808977401774012,-0.04947908998376503,-0.021225375321492993,-0.06503680437432273,0.7446701982474665,0.48285434351301787,0.5190629912434627,0.5051257304928999,0.34721827827851837,0.549124994575491
compactness1,0.16916808312339437,0.032566628940708595,0.25640866026638665,0.17018086176418898,0.6764329113508645,1.0,0.8477120753767595,0.7273488594832542,0.6980609299649229,0.756318095075705,0.2528961982414058,0.16183490536830963,0.33443953858657355,0.21842327242543244,0.203013741956995,0.7478002984480306,0.6401905416945379,0.4449909270594708,0.40165117865069466,0.6636347330218926,0.178291363925149,0.016581358111438415,0.2876603149811965,0.16373768645332776,0.4542511474587006,0.7910516789776277,0.7555521086103011,0.7402227139256126,0.439311254708773,0.6282149224703498
concavity1,0.4827503743593814,0.0671352354198566,0.5549939976151352,0.49315144674453737,0.6350839109400844,0.8477120753767595,1.0,0.9071187407883984,0.5381658035296937,0.46673658907923815,0.4653079208328371,0.19061490336075124,0.5146961091151749,0.46654650908908796,0.2925991220160768,0.6165596351034355,0.7154872767136288,0.47080803334887705,0.338859277524358,0.5190277083866053,0.4345173971634666,-0.023148528721505274,0.5238858306768547,0.4252049624415239,0.3205519111001972,0.539136374813809,0.7375348528623847,0.7448325806136626,0.20410443328209388,0.32969963293434557
concave_points1,0.6755191205447093,0.017452918285293717,0.7301583138646459,0.6775130401516999,0.5486414521323424,0.7273488594832542,0.9071187407883984,1.0,0.44398383052974844,0.28934590339704347,0.5588024136356438,0.1574906043404528,0.5877531345820943,0.5532437405451255,0.1913544703076245,0.4409943737755146,0.504336278024408,0.440637604557152,0.2621423690847256,0.36773246236387386,0.632881854121834,-0.09480305481981824,0.6945074111034969,0.6108137802690897,0.18984010404764948,0.34835298290926564,0.5114641301511678,0.7681388217984367,0.09675977910660079,0.13433945349316556
symmetry1,-0.07644230175219435,-0.09000936791940022,-0.014328763722322021,-0.08082836840785884,0.5782158728908172,0.6980609299649229,0.5381658035296937,0.44398383052974844,1.0,0.6398302098267727,0.09982063992265951,0.17252201485659346,0.1415993677797897,0.04891983850803432,0.07696953514587788,0.4858218966770192,0.41431770526390177,0.2787275542991198,0.5472351693554565,0.4447088519297283,-0.05612820529095861,-0.03312961412970451,0.01602555854052436,-0.06912240993162659,0.36442238770084473,0.5265474793764272,0.47815311432464186,0.47277379550621434,0.7129487711183996,0.47796621939476364
fractal_dimension1,-0.38867852241101364,-0.061559347677935916,-0.3135633551719393,-0.3686118329701458,0.7516898051671768,0.756318095075705,0.46673658907923815,0.28934590339704347,0.6398302098267727,1.0,-0.08534299588464855,0.15441224258314662,-0.02000621222732142,-0.14646799131087732,0.16332790550173884,0.5484898007346645,0.3954042658144942,0.22418479747542722,0.3104295819111202,0.6677185118911382,-0.3263472439858444,0.0524007512013997,-0.24429580859406178,-0.3159917797187089,0.6439098549318897,0.7017163655756284,0.5799162362300656,0.4297365822780225,0.5124417090095957,0.8372491542954924
